company,ticker,title,body,date,replies
XATA Corp.,XATA,We are jumping ship,We are jumping ship,2012-07-14,0
XATA Corp.,XATA,Only one layoff required,Only one layoff required. Coughlan. Single handedly took the share price from $6.55 to under $1. Nice work. How is it you kept the job Jay?,2012-06-28,0
XATA Corp.,XATA,"In early November, Xata had significant layoffs....due to lower than projected Sales....and a new product that they can't seem to get out the...","In early November, Xata had significant layoffs....due to lower than projected Sales....and a new product that they can't seem to get out the door....",2010-11-24,0
XATA Corp.,XATA,I heard that cuts at XATA may be coming in the IT department - apparently with the recession and the overall drop in the transporation volume...,"I heard that cuts at XATA may be coming in the IT department - apparently with the recession and the overall drop in the transporation volume we have to be affected as the fleets today tend to be around 10% smaller than a year before. Add to that...
read more",2009-08-17,0
XBiotech Inc.,XBIT,Austin Layoffs,"CEO is very powerful, and all managers reporting to the CEO are just a bunch of 'yes' people - nobody pushes back or tells the story as it is... We just had layoffs in many groups. Many people were laid off because they wanted to do right thing, this...
read more",2017-05-24,0
XL Capital Ltd.,XL,XL Catlin,"No posts related to the Catlin merger yet - in my department (~35 people) I only know of one layoff, and he got a job at a company where he used to work (maybe he quit before let go, not sure). A few other people on both the XL and Catlin sides moved...
read more",2016-01-18,2
XL Capital Ltd.,XL,i heard that there may be a second round of cuts in april,i heard that there may be a second round of cuts in april. any insider info? they way we are going there will be nobody to actually do business.,2009-03-04,0
XL Capital Ltd.,XL,XL CAP LAYOFFS: 11-feb-09: XL Capital Ltd,"XL CAP LAYOFFS: 11-feb-09: XL Capital Ltd. (XL) announced Tuesday during its fourth quarter earnings report that it will cut its dividend by 47%, from 76 cents annually to 40 cents. This was the second time in less than a year that the company cut...
read more",2009-02-16,0
XO Group Inc.,XOXO,Hope the WeddingWire deal goes well,"They cut resources when two companies merge, I hope XO will be fine. Good luck all. A.M. Narayan",2018-10-15,0
XO Group Inc.,XOXO,NYC Layoffs for XO,Not sure if this 100% accurate but I hear that things are not going well for XO.,2017-03-10,0
XOMA Ltd.,XOMA,100 cut in 2012,"If I remember correctly, I am not with the company but I do have connections to it. Good folks, very talented, I am sure XOMA is going to make it big.",2014-01-28,0
XOMA Ltd.,XOMA,XOMA was laying off folks in Berkeley back in Winter of this year,"XOMA was laying off folks in Berkeley back in Winter of this year. I am not even sure if they are still around. Anyhow, I do think that development/manufacturing of monoclonal antibody-based therapeutics has a lucrative future - So I am not sure...
read more",2012-07-07,0
XOMA Ltd.,XOMA,"Xoma is hosed - simply put, this company has no future","Xoma is hosed - simply put, this company has no future",2010-08-27,0
XTO Energy Inc.,XTO,1200,"Look at 2018 -- https://twc.texas.gov/businesses/worker-adjustment-and-retraining-notification-warn-notices#warnNotices NOTICE_DATE JOB_SITE_NAME COUNTY_NAME WDA_NAME TOTAL_LAYOFF_NUMBER LayOff_Date WFDD_RECEIVED_DATE CITY_NAME 09-May-18 XTO Energy...
read more",2018-08-29,0
XTO Energy Inc.,XTO,"More bad news, ahem.... Oh, XTO...","See it here https://www.bizjournals.com/houston/news/2018/02/20/after-asset-sale-to-hilcorp-xto-energy-files.html It's behind the paywall - so you can see only a paragraph I've pasted the whole thing below After asset sale to Hilcorp, XTO Energy...
read more",2018-02-20,1
XTO Energy Inc.,XTO,Potential Cuts...,"XTO Energy warns state that deal could result in layoffs (Source blow).. The potential layoffs stem from a deal in December when XTO Energy Inc. sold its San Juan assets to Houston-based Hilcorp San Juan LP. On Jan. 24, XTO Energy filed a WARN notice...
read more",2018-02-19,0
XTO Energy Inc.,XTO,Any XTO Energy Layoffs updates?,Please post,2017-09-07,2
