company,ticker,title,body,date,replies
Q-MED Inc.,QMED,"QMED is a cool company to work for, expanding, some issues but overall a good company with no work force reduction - check out the website,...","QMED is a cool company to work for, expanding, some issues but overall a good company with no work force reduction - check out the website, you'll see that the company is expanding",2013-11-06,0
Q.E.P. Co.,QEPC,....,,2014-03-26,1
Q.E.P. Co.,QEPC,"QEP is having some issues recently, nothing major but still it's very rough in the marketplace right now","QEP is having some issues recently, nothing major but still it's very rough in the marketplace right now",2013-11-06,0
Q.E.P. Co.,QEPC,qep is solid - no layoffs here,qep is solid - no layoffs here. good luck folks...,2009-08-02,0
Q2 Holdings Inc.,QTWO,Losses does it equal layoffs,"With the reported losses for 2016, will there be layoffs",2017-02-17,0
QAD Inc.,QADA,"QAD sometimes does good and sometimes does not do good - that's why stock fluctuates - no layoffs, no plans for layoffs - it seems that we...","QAD sometimes does good and sometimes does not do good - that's why stock fluctuates - no layoffs, no plans for layoffs - it seems that we are in a stable phase",2013-11-06,0
QC Holdings Inc.,QCCO,"still some room for growth, good financial mgmt here at QC, no layoffs and still hiring, 2008 was a bad year, 2009 too","still some room for growth, good financial mgmt here at QC, no layoffs and still hiring, 2008 was a bad year, 2009 too. dont know what 2014 brings though",2013-11-06,0
QCR Holdings Inc.,QCRH,"Q-C-R used to kick butt, nowdays, not so much","Q-C-R used to kick butt, nowdays, not so much. the company is losing its edge.",2013-11-06,0
QEP Resources Inc.,QEP,Why layoff field personnel in divestiture assets?,"With the announcement yesterday of a 4% workforce reduction, I've go to ask. Why layoff the field level employees? Why not hang on to them for a few more months and see if the buyers will offer them a position? This is going to cause several people a...
read more",2018-04-04,1
QEP Resources Inc.,QEP,Layoffs started today 3 April,no body text,2018-04-03,2
QEP Resources Inc.,QEP,Starting already?,It didn't take them long to start the layoffs. They have been getting a couple at a time.,2018-03-15,0
QEP Resources Inc.,QEP,Bonuses,Is there any chance the normal employee receives anything of value (or what is deserved) this bonus go-round?,2018-02-22,0
QEP Resources Inc.,QEP,Chuck has proven he is worst than even Nordloh. Can you believe that??????,no body text,2017-08-02,9
QEP Resources Inc.,QEP,Expect layoffs this month. March.,no body text,2016-03-01,5
QEP Resources Inc.,QEP,Jan 2016 Job cuts at QEP RESOURCES,"That's the rumor, not sure if it's reliable, but that's the rumor",2016-01-20,2
QEP Resources Inc.,QEP,Any word on layoffs? I'm hearing some grumblings,no body text,2015-10-19,1
QKL Stores Inc.,QKLS,Your all Doomed,Cashiers are eliminated by June,2019-01-22,0
QLT Inc.,QLTI,"Nothing to report on QLT, business as usual, ups and downs, minimal layoffs and still hiring","Nothing to report on QLT, business as usual, ups and downs, minimal layoffs and still hiring. 2014 is expected to be better than 2013, and since we did not have layoffs in 2013 i would assume that 2014 will be even better for QLT",2013-11-06,0
QLogic Corp.,QLGC,QLogic Hires Qtalyst Partners To Explore Strategic Alternatives,Temporary CEO told to show more leg.,2016-04-08,1
QLogic Corp.,QLGC,"Lots of Openings in Pune, India","None in Roseville, CA. I wonder who is camping out in Prasad's Roseville office?",2016-03-18,0
QLogic Corp.,QLGC,15% Layoff in 2015 after Earnings Disappointment,Stock Back Over $10,2016-02-14,1
QLogic Corp.,QLGC,Prasad's strategy was to replicate IBMs software and services model well after it had been adopted by many others.,"Unfortunately, there were no good companies left to acquire and most opportunities in this area had been identified and were being exploited.",2016-01-27,0
QLogic Corp.,QLGC,Prasad Rampalli,A true leader,2015-09-01,2
QLogic Corp.,QLGC,"Layoffs on March 13, 2014","30% Hit in Engineering, 220 Down To 157",2014-03-25,1
QLogic Corp.,QLGC,job postings,I saw lots of engineering job postings (CA)? What's going on?,2014-02-28,0
QLogic Corp.,QLGC,2014 Job Cuts at QLOGIC,"It's inevitable, we'll have very rough year, 2014 might be our worse on record.",2014-02-27,0
QLogic Corp.,QLGC,"Back in July there was a big hit of layoffs in Shakopee - engineers, operations staff, marketing personnel and PMs were affected","Back in July there was a big hit of layoffs in Shakopee - engineers, operations staff, marketing personnel and PMs were affected",2013-11-06,0
QLogic Corp.,QLGC,"We at QLogic are used to layoffs, stuff happens, but somehow we survive and move on - I am hoping for better days, not sure if current execs...","We at QLogic are used to layoffs, stuff happens, but somehow we survive and move on - I am hoping for better days, not sure if current execs can deliver improvment",2013-11-06,1
QLogic Corp.,QLGC,QLogic Corp,"QLogic Corp. (QLGC) is implementing a restructuring plan that involves cutting its workforce, consolidating engineering activities and enhancing its focus on product development to drive long-term profitable growth. The supplier of switches...
read more",2013-09-16,0
QLogic Corp.,QLGC,"The company has been managed by tight wads, more concerned about share holders than their employees","The company has been managed by tight wads, more concerned about share holders than their employees. They tend not to be customer-focused which is frustrating to some employees. Like at large number of our companies today, the current CEO was...
read more",2013-06-05,0
QSound Labs Inc.,QSND,"QSOUND is small and you cannot expect big layoffs here - Good company, still cares for workers, you cannot find that out there any more","QSOUND is small and you cannot expect big layoffs here - Good company, still cares for workers, you cannot find that out there any more",2013-11-06,0
Qiagen N.V.,QGEN,Worst Company they will acquire and lay off . worst is due to stupid ingenuity,no body text,2016-10-23,2
Qiagen N.V.,QGEN,A lay off company worst management,no body text,2016-10-23,0
Qiagen N.V.,QGEN,Back in 2011 we let 10% of our staff go - 2014 will be bad as well.,Back in 2011 we let 10% of our staff go - 2014 will be bad as well.,2013-11-06,0
Qiagen N.V.,QGEN,"We are acquiring Ipsogen, why would we be letting people go in a middle of a large expansion?","We are acquiring Ipsogen, why would we be letting people go in a middle of a large expansion?",2011-06-17,0
Qiao Xing Mobile Communication Co. Ltd.,QXM,Qiao Xing is growing so do not expect layoffs here - people are unhappy though and management is just ignoring the overall negativity that...,Qiao Xing is growing so do not expect layoffs here - people are unhappy though and management is just ignoring the overall negativity that many of us feel,2013-11-06,0
Qiao Xing Universal Telephone Inc.,XING,HORRIBLE,Avoid at all cost,2013-12-12,1
Qiao Xing Universal Telephone Inc.,XING,"Qiao Xing has another page here - so, really, no layoffs but bad work environment","Qiao Xing has another page here - so, really, no layoffs but bad work environment",2013-11-06,0
Qihoo 360 Technology Co. Ltd.,QIHU,Can't believe it,Can you?,2015-08-25,0
Qimonda AG,QI,200 folks were cut in 2008,things are much better now,2014-05-27,0
